"Pk";"Tm";"Player";"College";"Yrs";"G";"MP";"PTS";"TRB";"AST";"FG.";"3P.";"FT.";"MP.1";"PTS.1";"TRB.1";"AST.1";"WS";"WS.48";"BPM";"VORP";"year"
29;"IND";"Louis Orr";"Syracuse University";"8";569;13353;5545;2117;853;0,468;0,083;0,787;23,5;9,7;3,7;1,5;25,7;0,093;-0,4;5,4;1980
30;"IND";"Kenny Natt";"University of Louisiana at Monroe";"3";49;388;150;40;41;0,417;0,2;0,621;7,9;3,1;0,8;0,8;-0,2;-0,026;-7,4;-0,5;1980
31;"LAL";"Wayne Robinson";"Virginia Polytechnic Institute and State University";"1";81;1592;643;294;112;0,46;0;0,729;19,7;7,9;3,6;1,4;1,7;0,052;-2,8;-0,3;1980
32;"POR";"David Lawrence";"McNeese State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
33;"POR";"Bruce Collins";"Weber State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
34;"DAL";"Roosevelt Bouie";"Syracuse University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
35;"WSB";"Rick Mahorn";"Hampton University";"18";1117;25779;7763;6957;1082;0,493;0,132;0,704;23,1;6,9;6,2;1;51,7;0,096;-0,3;10,7;1980
36;"NYK";"DeWayne Scales";"Louisiana State University";"3";49;521;224;140;10;0,417;0,167;0,628;10,6;4,6;2,9;0,2;0,2;0,017;-8,5;-0,9;1980
37;"LAL";"Butch Carter";"Indiana University";"6";361;6814;3137;546;683;0,475;0,307;0,788;18,9;8,7;1,5;1,9;8,5;0,06;-2,5;-0,8;1980
38;"HOU";"Terry Stotts";"University of Oklahoma";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
39;"SAS";"Michael Wiley";"California State University, Long Beach";"2";94;1284;692;246;63;0,561;0;0,709;13,7;7,4;2,6;0,7;2,9;0,107;-1,6;0,1;1980
40;"IND";"Dick Miller";"University of Toledo";"1";8;53;8;7;5;0,444;0;NA;6,6;1;0,9;0,6;-0,1;-0,102;-6,3;-0,1;1980
41;"DEN";"Jawann Oldham";"Seattle University";"10";329;5241;1455;1353;162;0,479;0;0,607;15,9;4,4;4,1;0,5;4,3;0,039;-1,9;0,2;1980
42;"PHO";"Kimberly Belton";"Stanford University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
43;"HOU";"Billy Williams";"Clemson University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
44;"PHI";"Clyde Austin";"North Carolina State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
45;"DET";"Brad Branson";"Southern Methodist University";"2";72;856;391;206;52;0,422;0;0,725;11,9;5,4;2,9;0,7;0,9;0,053;-3,5;-0,3;1980
46;"BOS";"Arnette Hallman";"Purdue University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
47;"DEN";"Kurt Nimphius";"Arizona State University";"8";564;11441;3602;2474;681;0,487;0,1;0,668;20,3;6,4;4,4;1,2;17,5;0,074;-0,7;3,7;1980
48;"DEN";"Eddie Lee";"University of Cincinnati";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
49;"GSW";"John Virgil";"University of North Carolina";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
50;"CHI";"James Wilkes";"University of California, Los Angeles";"3";114;1531;547;274;104;0,463;0;0,723;13,4;4,8;2,4;0,9;2;0,063;-2,3;-0,1;1980
51;"DEN";"Ronnie Valentine";"Old Dominion University";"1";24;123;84;30;7;0,378;0,5;0,474;5,1;3,5;1,3;0,3;-0,3;-0,128;-10,4;-0,3;1980
52;"NJN";"Lowes Moore";"West Virginia University";"3";112;2118;752;227;316;0,442;0,2;0,75;18,9;6,7;2;2,8;1,5;0,035;-3,2;-0,6;1980
53;"CLE";"Stuart House";"Washington State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
54;"BOS";"Ron Perry";"College of the Holy Cross";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
55;"CLE";"Wayne Abrams";"Southern Illinois University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
56;"POR";"Mike Harper";"North Park University";"2";123;1894;613;432;71;0,474;0;0,559;15,4;5;3,5;0,6;2,4;0,062;-1,5;0,2;1980
57;"DAL";"Dave Britton";"Texas A&M University";"1";2;9;4;2;3;0,667;NA;NA;4,5;2;1;1,5;0;0,093;1,3;0;1980
58;"NYK";"Kurt Rambis";"Santa Clara University";"14";880;16299;4603;4961;931;0,534;0;0,689;18,5;5,2;5,6;1,1;38,3;0,113;1,4;14;1980
59;"PHO";"John Campbell";"Clemson University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
60;"SAS";"Lavon Mercer";"University of Georgia";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
61;"SAS";"Rich Yonakor";"University of North Carolina";"1";10;70;33;27;3;0,538;NA;0,714;7;3,3;2,7;0,3;0,3;0,201;0,6;0;1980
62;"KCK";"Tony Murphy";"Southern University and A&M College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
63;"MIL";"Al Beal";"University of Oklahoma";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
64;"DET";"Jonathan Moore";"Furman University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
65;"PHO";"Doug TRUE";"University of California";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
66;"SEA";"Carl Bailey";"Tuskegee University";"1";1;7;2;0;0;1;NA;NA;7;2;0;0;0;-0,268;-13,6;0;1980
67;"PHI";"Reggie Gaines";"Winston-Salem State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
68;"CLE";"Ron Jones";"Illinois State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
69;"BOS";"Donald Newman";"University of Idaho";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
70;"DET";"Darwin Cook";"University of Portland";"8";612;14156;5820;1308;2248;0,453;0,196;0,764;23,1;9,5;2,1;3,7;22,9;0,078;-0,1;6,6;1980
71;"GSW";"Robert Scott";"University of Alabama";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
72;"UTA";"Alan Taylor";"Brigham Young University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
73;"DEN";"Sammie Ellis";"University of Pittsburgh";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
74;"CHI";"Ron Charles";"Michigan State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
75;"NJN";"Rory Sparrow";"Villanova University";"12";836;22550;7557;1755;4192;0,466;0,26;0,797;27;9;2,1;5;28,3;0,06;-2,3;-1,6;1980
76;"SDC";"Ed Odom";"Oklahoma State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
77;"CLE";"Murray Brown";"Florida State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
78;"IND";"Rich Branning";"University of Notre Dame";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
79;"POR";"Kelvin Henderson";"Saint Louis University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
80;"DAL";"David Johnson";"Weber State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
81;"WSB";"Francois Wise";"California State University, Long Beach";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
82;"NYK";"Joseph Chmelich";"University of Wisconsin";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
83;"SAS";"Calvin Roberts";"California State University, Fullerton";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
84;"HOU";"Dean Hunger";"Utah State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
85;"PHI";"Billy Bryant";"Western Kentucky University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
86;"MIL";"Jeff Wolf";"University of North Carolina";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
87;"LAL";"Tony Jackson";"Florida State University";"1";2;14;2;2;2;0,333;NA;NA;7;1;1;1;0;0,124;1,2;0;1980
88;"PHO";"Leroy Stampley";"Loyola University of Chicago";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
89;"SEA";"Gary Ray Hooker";"Murray State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
90;"PHI";"Harold Hubbard";"Savannah State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
91;"LAL";"Ron Baxter";"University of Texas at Austin";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
92;"BOS";"Kevin Hamilton";"Iona College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
93;"DET";"Tony Fuller";"Pepperdine University";"1";15;248;60;42;28;0,364;0;0,75;16,5;4;2,8;1,9;-0,1;-0,021;-5;-0,2;1980
94;"UTA";"Wally West";"Boston University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
95;"GSW";"Don Carlino";"University of Southern California";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
96;"CHI";"Mike Campbell";"Northwestern University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
97;"DEN";"James Patrick";"Texas State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
98;"NJN";"Aaron Curry";"University of Oklahoma";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
99;"SDC";"Wally Rank";"San Jose State University";"1";25;153;55;30;17;0,368;NA;0,464;6,1;2,2;1,2;0,7;-0,4;-0,14;-7,3;-0,2;1980
100;"IND";"Joe Galvin";"Illinois State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
101;"CLE";"LaVon Williams";"University of Kentucky";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
102;"POR";"Larry Belin";"University of New Mexico";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
103;"DAL";"Darrell Allums";"University of California, Los Angeles";"1";22;276;59;65;25;0,343;0;0,591;12,5;2,7;3;1,1;-0,3;-0,054;-5,6;-0,2;1980
104;"NYK";"William Carey";"Albright College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
105;"WSB";"Daryl Strickland";"Rutgers University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
106;"HOU";"Albert Jones";"University of New Mexico";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
107;"SAS";"Gib Hinz";"University of Wisconsin-Eau Claire";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
108;"KCK";"Kevin Blakley";"Eastern Michigan University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
109;"MIL";"Ken Jones";"Virginia Commonwealth University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
110;"ATL";"Mike Doyle";"University of South Carolina";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
111;"PHO";"Mark Stevens";"Northern Arizona University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
112;"SEA";"Lenny Horton";"Georgia Institute of Technology";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
113;"PHI";"Jim Swaney";"University of Toledo";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
114;"LAL";"Rick Raivio";"University of Portland";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
115;"BOS";"Rufus Harris";"University of Maine";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
116;"DET";"Tony Turner";"University of Alaska Anchorage";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
117;"GSW";"Neil Bresnahan";"University of Illinois at Urbana-Champaign";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
118;"UTA";"Ken Cunningham";"Western Michigan University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
119;"DEN";"Ernie Hill";"Oklahoma City University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
120;"CHI";"Bernard Rencher";"St. John's University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
121;"NJN";"Rick Mattick";"Louisiana State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
122;"SDC";"Londale Theus";"Santa Clara University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
123;"CLE";"Antonio Martin";"Oral Roberts University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
124;"IND";"Randy Owens";"Philadelphia University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
125;"POR";"Perry Mirkovich";"University of Lethbridge";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
126;"DAL";"Leroy Jackson";"Cameron University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
127;"WSB";"Ken Dancy";"Chicago State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
128;"NYK";"Kelvin Hicks";"New York Institute of Technology";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
129;"SAS";"Dean Uthoff";"Iowa State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
130;"HOU";"Everette Jefferson";"University of New Mexico";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
131;"KCK";"Trent Grooms";"Kent State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
132;"MIL";"Alex Gilbert";"Indiana State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
133;"ATL";"Mike Zagardo";"George Washington University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
134;"PHO";"Coby Leavitt";"University of Utah";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
135;"SEA";"Jim Strickland";"University of South Carolina";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
136;"PHI";"Donald Cooper";"Saint Augustine's College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
137;"LAL";"Odis Boddie";"University of North Alabama";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
138;"BOS";"Kenny Evans";"Norfolk State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
139;"DET";"Carl Pierce";"Gonzaga University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
140;"UTA";"Dave Colescott";"University of North Carolina";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
141;"GSW";"Lorenzo Romar";"University of Washington";"5";291;5188;1731;385;1022;0,464;0,211;0,749;17,8;5,9;1,3;3,5;8;0,074;-2,8;-1;1980
142;"CHI";"Robert Byrd";"Marquette University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
143;"DEN";"Tommy Springer";"Vanderbilt University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
144;"NJN";"Larry Spicer";"University of Alabama at Birmingham";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
145;"SDC";"Paul Anderson";"University of Southern California";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
146;"IND";"Charles Naddaff";"Lafayette College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
147;"CLE";"Leroy Berry";"Wilmington College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
148;"POR";"Gig Sims";"University of California, Los Angeles";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
149;"DAL";"Tony Forch";"Midwestern State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
150;"NYK";"Bobby Turner";"University of Louisville";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
151;"WSB";"Karl Godine";"Stephen F. Austin State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
152;"HOU";"Joe Nehls";"University of Arizona";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
153;"SAS";"Allan Zahn";"University of Arkansas";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
154;"KCK";"Arnold McDowell";"Montana State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
155;"MIL";"Ron White";"Furman University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
156;"ATL";"Charles Hightower";"Dillard University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
157;"PHO";"Ron Williams";"University of Montana-Western";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
158;"SEA";"Carl Ervin";"Seattle University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
159;"PHI";"Richard Smith";"Weber State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
160;"BOS";"Les Hanson";"Virginia Polytechnic Institute and State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
161;"DET";"Leroy Loggins";"Fairmont State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
162;"GSW";"Kurt Kanaskie";"La Salle University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
163;"UTA";"Jim Brandon";"Saint Peter's College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
164;"CHI";"Modzel Greer";"North Park University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
165;"NJN";"Lloyd Terry";"University of New Orleans";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
166;"CLE";"Jim Ellinghausen";"Ohio State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
167;"IND";"Steve Stielper";"James Madison University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
168;"POR";"John Stroeder";"University of Montana";"2";46;293;82;85;23;0,369;0;0,667;6,4;1,8;1,8;0,5;-0,1;-0,01;-5,3;-0,2;1980
169;"DAL";"Clarence Kea";"Lamar University";"2";51;447;198;128;19;0,485;0;0,692;8,8;3,9;2,5;0,4;1;0,107;-3,5;-0,2;1980
170;"WSB";"Rich Valavicious";"Auburn University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
171;"NYK";"James Salters";"University of Pennsylvania";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
172;"SAS";"Bill Bailey";"University of Texas-Pan American";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
173;"HOU";"Rosie Barnes";"Bowling Green State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
174;"MIL";"Keith Valentine";"Virginia Union University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
175;"PHO";"Jim Conolly";"La Salle University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
176;"SEA";"Al Dutch";"Georgetown University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
177;"PHI";"Martin Lemelle";"Grambling State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
178;"LAL";"Melvin Hooker";"Edinboro University of Pennsylvania";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
179;"BOS";"Steve Wright";"Boston University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
180;"DET";"Terry Dupris";"Huron University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
181;"UTA";"Paul Renfro";"University of Texas at Arlington";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
182;"GSW";"Billy Reid";"University of San Francisco";"1";59;597;190;60;71;0,454;0;0,564;10,1;3,2;1;1,2;-0,6;-0,05;-5;-0,5;1980
183;"CHI";"Jay Shidler";"University of Kentucky";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
184;"DEN";"Jim Graziano";"University of South Carolina";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
185;"NJN";"Barry Young";"Colorado State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
186;"IND";"Scott Rogers";"Kenyon College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
187;"CLE";"Melvin Crafter";"Central State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
188;"POR";"Rich Boucher";"University of Maine";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
189;"DAL";"Ken Williams";"University of Houston";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
190;"NYK";"Don Wiley";"Monmouth University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
191;"WSB";"Clinton Wyatt";"Alcorn State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
192;"SAS";"Al Williams";"University of North Texas";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
193;"KCK";"Charley Cole";"Delta State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
194;"MIL";"Del Yarbrough";"Illinois State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
195;"ATL";"Stanley Lamb";"Franciscan University of Steubenville";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
196;"PHO";"Keith French";"North Park University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
197;"SEA";"Jim Tillman";"Eastern Kentucky University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
198;"PHI";"Luke Griffin";"Saint Joseph's University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
199;"BOS";"Brian Jung";"Northwestern University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
200;"GSW";"Tim Higgins";"University of Nebraska at Kearney";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
201;"UTA";"Leroy Coleman";"Middle Tennessee State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
202;"DEN";"Earl Sango";"Regis University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
203;"CHI";"Billy Foster";"Montana State University, Billings";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
204;"IND";"John Bates";"West Virginia Wesleyan College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980
