"Pk";"Tm";"Player";"College";"Yrs";"G";"MP";"PTS";"TRB";"AST";"FG.";"3P.";"FT.";"MP.1";"PTS.1";"TRB.1";"AST.1";"WS";"WS.48";"BPM";"VORP";"year"
34;"DET";"Hank Morano";"Saint Peter's College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
35;"NYK";"Don Lane";"University of Dayton";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
36;"PHW";"Don Ohl";"University of Illinois at Urbana-Champaign";"10";727;22413;11549;2163;2243;0,434;NA;0,732;30,8;15,9;3;3,1;30,2;0,065;NA;NA;1958
37;"SYR";"Fred Grim";"University of Arkansas";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
38;"STL";"Rick Herrsher";"Southern Methodist University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
39;"BOS";"Gene Brown";"University of San Francisco";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
40;"MNL";"Al Inniss";"St. Francis College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
41;"CIN";"Jim McClennan";"Saint Francis University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
42;"DET";"Shellie McMillon";"Bradley University";"4";263;4977;2397;1571;232;0,434;NA;0,634;18,9;9,1;6;0,9;8,1;0,078;NA;NA;1958
43;"NYK";"Joe King";"University of Oklahoma";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
44;"PHW";"Bucky Allen";"Duke University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
45;"SYR";"Jack Mimitz";"Saint Louis University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
46;"STL";"John Crawford";"Iowa State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
47;"BOS";"Dave Keleher";"Morehead State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
48;"MNL";"Jim Bond";"Point Loma Nazarene University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
49;"CIN";"Wayne Stevens";"University of Cincinnati";"1";8;49;13;16;4;0,158;NA;0,7;6,1;1,6;2;0,5;-0,2;-0,169;NA;NA;1958
50;"DET";"Ed Blair";"Western Michigan University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
51;"NYK";"Owen Lawson";"Western Kentucky University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
52;"PHW";"Jay Norman";"Temple University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
53;"SYR";"Pete Tillotson";"University of Michigan";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
54;"STL";"Ken Sidle";"Ohio State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
55;"BOS";"Rudy Fenderson";"Brandeis University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
